节点,贪婪模块化社区,Girvan-Newman社区
城市5,0,3
城市7,0,3
城市4,0,3
城市2,0,2
城市8,0,3
城市3,1,3
城市10,1,1
城市9,1,5
城市6,2,4
城市1,2,0
