年份,节点数,边数,平均度,密度,平均路径长度,直径,聚类系数,互惠性
2020,10,41,8.2,0.45555555555555555,1.5888888888888888,3,0.5719047619047619,0.5853658536585366
2021,10,47,9.4,0.5222222222222223,1.4777777777777779,2,0.8164285714285715,0.46808510638297873
2022,10,45,9.0,0.5,1.5444444444444445,3,0.78,0.4888888888888889
